sno,present,custom_number,name,author,publisher,publishing_year,price,categories,
200,,200,சந்திர வதனா - 3,பால சுப்பிரமணியன் ,கலைஞன் பதிப்பகம்,1998,90.00,வரலாற்று நாவல்,
201,,201,சந்திர வதனா - 4,பால சுப்பிரமணியன் ,கலைஞன் பதிப்பகம்,1998,90.00,வரலாற்று நாவல்,
202,,202,உடையார் - 1,பாலகுமாரன்,விசா பப்ளிகேசன்,2002,170.00,வரலாற்று நாவல்,
204,,204,உடையார் - 6,பாலகுமாரன் ,விசா பப்ளிகேசன்,2006,250.00,வரலாற்று நாவல்,
205,,205,கங்கை கொண்ட சோழன் - 3,பாலகுமாரன் ,விசா பப்ளிகேசன்,2014,325.00,வரலாற்று நாவல்,
206,,206,காதல் அரங்கம் ,பாலகுமாரன்,விசா பப்ளிகேசன்,2002,64.00,வரலாற்று நாவல்,
207,,207,பெண்ணாசை ,பாலகுமாரன்,விசா பப்ளிகேசன்,2011,105.00,வரலாற்று நாவல்,
208,,208,தமிழக வரலாற்று களஞ்சியம்- 1 ,பாலன் ,வானதி பதிப்பகம்,2014,330.00,வரலாறு,
209,,209,தமிழக வரலாற்று களஞ்சியம்- 2,பாலன் ,வானதி பதிப்பகம்,2014,320.00,வரலாறு,
210,,210,தமிழக வரலாற்று களஞ்சியம்- 3,பாலன் ,வானதி பதிப்பகம்,2014,350.00,வரலாறு,
212,,212,தீரன் சின்னமலை,பாஸ்கரதாசன்,கொங்கு நூல் பதிப்பகம்,2008,150.00,வரலாற்று நாவல்,
213,,213,"தமிழக வரலாறு வரிசை- 8 
தமிழக வரலாறு",புலவர் குழந்தை,அமிழ்தம் பதிப்பகம்,2008,180.00,வரலாற்று நாவல்,
214,,214,மகத மகுடம் ,பொன்.பரமகுரு,பூம்புகார் பதிப்பகம் ,1993,50.00,வரலாற்று நாவல்,
215,,215,விடுதலை போரில் புலித்தேவன்,ம.நடராசன்,தமிழ் அரசி பதிப்பகம்,2002,50.00,வரலாற்று நாவல்,
216,,216,சாணக்கியன் சாம்ராஜ்யம்,மகரிஷி,நிவேதிதா பதிப்பகம்,2007,100.00,வரலாற்று நாவல்,
217,,217,வந்தார்கள் வென்றார்கள்,மதன்,விகடன் பிரசுரம்,,,வரலாறு,
218,,218,இதய ரோஜா,மதுரம் சுந்தரேசன்,வானதி பதிப்பகம்,2011,350.00,வரலாற்று நாவல்,
219,,219,இருபதாவது இல்லத்தரசி,மதுரம் சுந்தரேசன்,வானதி பதிப்பகம்,2010,250.00,வரலாற்று நாவல்,
220,,220,நிழல் இளவரசி,மதுரம் சுந்தரேசன்,வானதி பதிப்பகம்,2013,250.00,வரலாற்று நாவல்,
221,,221,மஞ்சள் மாடத்து நிலவு,மதுரா ,கங்கை புத்தகநிலையம்,2007,40.00,வரலாற்று நாவல்,
222,,222,"தமிழக வரலாறு வரிசை- 6 
கொங்குநாட்டு வரலாறு, துளுவநாட்டு வரலாறு",மயிலை சினி.வேங்கடசாமி,அமிழ்தம் பதிப்பகம்,2008,230.00,வரலாறு,
223,,223,"தமிழக வரலாறு வரிசை- 7 
களப்பிரர் காலத்தமிழகம்",மயிலை சினி.வேங்கடசாமி,அமிழ்தம் பதிப்பகம்,2008,220.00,வரலாறு,
